day hour dtsum  rainrate node    sso       ss         u        bw        fl      ak        d
106 16   313.4 0.000E+00  97 0.108E-01 0.108E-01 -.144E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   313.4 0.000E+00  96 0.105E-01 0.112E-01 -.461E-04 0.362E+03   0.089 0.325E+02 0.101E-02

106 16   391.9 0.000E+00  98 0.987E-02 0.983E-02 -.112E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16   391.9 0.000E+00  97 0.108E-01 0.108E-01 -.144E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   391.9 0.000E+00  96 0.112E-01 0.119E-01 -.550E-04 0.362E+03   0.090 0.326E+02 0.101E-02

106 16   470.4 0.000E+00  98 0.984E-02 0.978E-02 -.110E-03 0.206E+03   0.197 0.118E+03 0.101E-02

106 16   470.4 0.000E+00  97 0.108E-01 0.107E-01 -.142E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   470.4 0.000E+00  96 0.119E-01 0.129E-01 -.692E-04 0.363E+03   0.091 0.326E+02 0.101E-02

106 16   588.1 0.000E+00  98 0.978E-02 0.972E-02 -.108E-03 0.206E+03   0.196 0.118E+03 0.101E-02

106 16   588.1 0.000E+00  97 0.107E-01 0.107E-01 -.141E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   588.1 0.000E+00  96 0.129E-01 0.137E-01 -.842E-04 0.363E+03   0.092 0.327E+02 0.101E-02

106 16   705.8 0.000E+00  98 0.972E-02 0.963E-02 -.105E-03 0.206E+03   0.196 0.117E+03 0.101E-02

106 16   705.8 0.000E+00  97 0.107E-01 0.106E-01 -.138E-03 0.209E+03   0.197 0.115E+03 0.101E-02

106 16   705.8 0.000E+00  96 0.137E-01 0.148E-01 -.106E-03 0.363E+03   0.094 0.328E+02 0.101E-02

106 16   882.4 0.000E+00  98 0.963E-02 0.953E-02 -.102E-03 0.206E+03   0.196 0.117E+03 0.101E-02

106 16   882.4 0.000E+00  97 0.106E-01 0.105E-01 -.135E-03 0.209E+03   0.196 0.115E+03 0.101E-02

